stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
2064,2064,"ALEXANDRE-TACHÉ/SAINT-JOSEPH",,  45.423397, -75.732666,,,0,1
2065,2065,"ALEXANDRE-TACHÉ/SAINT-JOSEPH",,  45.423589, -75.732474,,,0,1
2066,2066,"SAINT-JOSEPH/RENÉ-ROGER",,  45.424137, -75.733425,,,0,1
2068,2068,"SAINT-JOSEPH/RENÉ-ROGER",,  45.424586, -75.733622,,,0,1
2070,2070,"SAINT-JOSEPH/DUQUESNE",,  45.426413, -75.733427,,,0,2
2072,2072,"SAINT-JOSEPH/DUQUESNE",,  45.426396, -75.733559,,,0,1
2078,2078,"SAINT-JOSEPH/SAINT-JEAN-BOSCO",,  45.428401, -75.733477,,,0,1
2080,2080,"SAINT-JOSEPH/SAINT-JEAN-BOSCO",,  45.428392, -75.733308,,,0,2
2082,2082,"SAINT-JOSEPH/de LORIMIER",,  45.430066, -75.733413,,,0,2
2084,2084,"SAINT-JOSEPH/MONTCALM",,  45.430889, -75.733256,,,0,1
2085,2085,"SAINT-RAYMOND/LIONEL-ÉMOND",,  45.446213, -75.749811,,,0,1
2088,2088,"SAINT-JOSEPH/DALPÉ",,  45.433410, -75.733097,,,0,1
2089,2089,"CENTRE ASTICOU",,  45.450505, -75.761850,,,0,1
2092,2092,"SAINT-JOSEPH/WìGWÀS",,  45.434905, -75.733027,,,0,1
2093,2093,"ROUTE 105/PONT ALONZO WRIGHT",,  45.482210, -75.749187,,,0,2
2094,2094,"SAINT-JOSEPH/WìGWÀS",,  45.434093, -75.733263,,,0,1
2095,2095,"ROUTE 105/PONT ALONZO WRIGHT",,  45.482268, -75.749968,,,0,2
2096,2096,"SAINT-JOSEPH/BRODEUR",,  45.436630, -75.732947,,,0,1
2097,2097,"PONT ALONZO WRIGHT/ROUTE 105",,  45.484242, -75.750865,,,0,2
2098,2098,"SAINT-JOSEPH/MONSEIGNEUR-BEAUDOIN",,  45.436001, -75.733168,,,0,1
2099,2099,"des GRIVES/de l'ATMOSPHÈRE",,  45.438582, -75.786173,,,0,2
